txn_id,customer_name,account_number,email,amount,txn_timestamp
TXN0001,Rohit Sharma,835886903502,rohit.sharma@gmail.com,17482.18,2026-03-11T13:59:19.219636
TXN0002,Rohit Sharma,925020541418,rohit.sharma@gmail.com,18081.74,2026-03-11T14:14:19.219636
TXN0003,Neha Gupta,039955842313,neha.gupta@outlook.com,9656.37,2026-03-11T14:29:19.219636
TXN0004,Rahul Mehta,139317716194,rahul.mehta@outlook.com,2346.07,2026-03-11T14:44:19.219636
TXN0005,Neha Gupta,484341988367,neha.gupta@outlook.com,1763.98,2026-03-11T14:59:19.219636
TXN0006,Amit Singh,626299482269,amit.singh@yahoo.com,4126.01,2026-03-11T15:14:19.219636
TXN0007,Priya Verma,020810088430,priya.verma@outlook.com,4750.13,2026-03-11T15:29:19.219636
TXN0008,Rahul Mehta,171114049908,rahul.mehta@yahoo.com,14266.84,2026-03-11T15:44:19.219636
TXN0009,Neha Gupta,000622755729,neha.gupta@outlook.com,15914.97,2026-03-11T15:59:19.219636
TXN0010,Amit Singh,702447860198,amit.singh@yahoo.com,16714.45,2026-03-11T16:14:19.219636
TXN0011,Rahul Mehta,096214336652,rahul.mehta@outlook.com,14158.07,2026-03-11T16:29:19.219636
TXN0012,Amit Singh,525562824966,amit.singh@gmail.com,13456.94,2026-03-11T16:44:19.219636
TXN0013,Amit Singh,947058172595,amit.singh@gmail.com,5958.08,2026-03-11T16:59:19.219636
TXN0014,Neha Gupta,260731048595,neha.gupta@yahoo.com,11640.05,2026-03-11T17:14:19.219636
TXN0015,Rahul Mehta,467509544146,rahul.mehta@yahoo.com,14673.68,2026-03-11T17:29:19.219636
TXN0016,Rahul Mehta,364074324612,rahul.mehta@yahoo.com,4568.14,2026-03-11T17:44:19.219636
TXN0017,Amit Singh,097082703179,amit.singh@yahoo.com,8362.04,2026-03-11T17:59:19.219636
TXN0018,Rahul Mehta,259305887495,rahul.mehta@yahoo.com,17091.86,2026-03-11T18:14:19.219636
TXN0019,Neha Gupta,960187580646,neha.gupta@yahoo.com,9123.02,2026-03-11T18:29:19.219636
TXN0020,Priya Verma,789795961823,priya.verma@yahoo.com,2096.54,2026-03-11T18:44:19.219636
